State,Political_Affilitation
Alabama,Republican
Alaska,Republican
Arizona,Swing
Arkansas,Republican
California,Democrat
Colorado,Democrat
Connecticut,Democrat
Delaware,Democrat
Florida,Republican
Georgia,Swing
Hawaii,Democrat
Idaho,Republican
Illinois,Democrat
Indiana,Republican
Iowa,Republican
Kansas,Democrat
Kentucky,Democrat
Louisiana,Republican
Maine,Democrat
Maryland,Democrat
Massachusetts,Democrat
Michigan,Swing
Minnesota,Democrat
Mississippi,Republican
Missouri,Republican
Montana,Republican
Nebraska,Republican
Nevada,Swing
New Hampshire,Democrat
New Jersey,Democrat
New Mexico,Republican
New York,Democrat
North Carolina,Swing
North Dakota,Republican
Ohio,Republican
Oklahoma,Republican
Oregon,Democrat
Pennsylvania,Swing
Rhode Island,Democrat
South Carolina,Republican
South Dakota,Republican
Tennessee,Republican
Texas,Republican
Utah,Republican
Vermont,Republican
Virginia,Swing
Washington,Democrat
West Virginia,Republican
Wisconsin,Swing
Wyoming,Republican
Wyoming,Republican
,